mirakl_product_id,method_metadata_only2
d96975c5-0bea-41f6-a4a8-fdac53f374f3,165
6f302b78-9a86-484e-894f-bb39220931a3,418
70006973-aa9f-4176-9f38-0ba2c5a1b06f,-1
6b010b1d-7475-44dc-ad56-502769d2e742,437
cf04d217-bfd6-4743-ae4b-bc98712959ca,183
18f34f39-60e3-4d53-a242-33ae46446cbf,128
cafc8d82-9879-4c76-b699-dffc24f91052,723
a72290f7-b929-430f-b372-826d0002de3a,46
55dc4733-2492-4798-bf4e-63c6e39817b4,-1
9922227b-bed3-43b5-899a-407619abbc16,231
3d7eb74a-a87f-4a77-9dec-9af85b32c09b,452
df121008-8579-42b3-8b94-1436e3d7eb65,390
995c42d3-c367-479a-8118-0839224aec20,477
51e51e24-e144-47f7-9d65-4a51830f1812,-1
5b61293e-1c25-4cdb-857f-78acadbd9d88,-1
6f98b173-7b52-45e0-9264-4b01c75f3bef,-1
0abb16eb-a2aa-4c4a-9a00-42df324be5e2,639
cec27f32-8b0e-4cee-8d1a-cc7ef40fbc82,559
b7d81fc5-84d1-4524-b344-9ea29d46c677,384
5b115174-2b82-400b-8ec9-b649bce5e8af,-1
73b20af5-1ced-40e6-a49c-1d556afba3a7,530
74192df7-8725-40bd-a687-bc35957bc536,117
b0d384d6-0109-461e-9562-9e748a8df405,670
57f2de57-8167-418d-8891-7d58d1705646,-1
8c580c05-c598-46a5-a850-5e1c7e7da3ca,368
8429e072-bda3-4022-88d0-53f7a5fbd01c,826
99032983-6e67-47cf-a4c9-375fcc39317a,383
d4e2850e-004e-4f2b-90f7-a6887919155d,235
1b0a15c2-ada1-46ea-90b6-b6b50d14a2ac,-1
445c125e-ca93-413f-9783-57d2558afe52,369
dcd81bf4-1605-42f0-9bd7-c7bf5b90c8fb,-1
8224e8a2-32c2-4473-bb0d-267cb2d1f385,-1
5763b649-f5b5-4e5f-b38b-4fb8768beb87,732
5c6411ee-e206-4d2d-89a3-8d567d62d5ec,567
fdd0eed9-9e05-4ca9-a832-b9cca492151d,355
ad607fc5-758c-4d38-9ad0-08a1be64f82b,443
c94f0228-18d6-4d5a-912c-3b1424241634,615
f0489424-dd8e-4c73-8423-7d2d4f22e799,248
c2819cfd-1141-4bf4-bc00-072a81c2756a,-1
9fc75bdb-734d-46db-90cb-e058ae5ad760,-1
e67f463a-c5aa-40bf-977b-c67e94b2c07b,-1
d93293dd-a63b-4a17-bcf6-a0e7d158fefc,174
3e38872a-66aa-46a0-a30e-7de3043c6178,-1
eed17bb5-528a-460d-bfbd-938f0a9d909c,151
405b6954-d97f-42bd-ae9c-c459e736af1c,236
0aad1633-d9a3-4524-b0a6-a77d4792fa3e,-1
fc9c6ada-3bea-4161-b86e-08e63698dadb,-1
92328bfc-6ee2-4cc3-85ef-7df9ad5d444b,403
4896f1c3-6918-4693-9580-b4b1c3578909,680
2e66a299-4b38-4a14-a70a-30912c196be5,244
f214c5ee-86f0-4a81-9456-43efdd1be130,-1
cc63fb08-8ae2-45ff-8f61-34d1e916b7b3,394
0692629f-30a0-4755-a6ca-2de3ae5e1d4d,684
32800d65-90c7-47f1-946e-2a0c211e002f,-1
a15b1883-434e-47f7-8edc-529f3bc188fb,65
e59ad49e-58ff-4a5d-8a30-17d8dcd65489,-1
6a7e87d7-9adf-458b-a1c8-ad25367c67ff,327
a40bc608-5fda-4988-b2e0-a3c172a0dcf2,533
3fce0c7e-8a57-4eed-8102-8ca5770704c8,244
ab2f008d-e40f-47ec-a809-922cbd2b306a,617
7163bf5f-f896-4976-ad58-720a12fec995,65
3ae66333-112a-4d1b-9dd2-05e13fbf29de,177
4e05af2a-317e-4cb8-8b8b-3df85eca498b,122
0085c6a8-0871-403b-a527-1c6d682e3f8e,277
b49b8b16-ae46-431f-b28f-76089b97a951,822
170c242c-7477-41c3-abb7-41c2046508f0,-1
860dde69-ad18-4b40-87d7-5da58c3e68e3,-1
aab14fd9-c07b-4043-b9b1-078898c7db7a,736
fa4b6198-71e6-4076-bf18-0d3261195578,-1
1ec063cf-2c7b-41c8-9cd2-81ee8679b7ce,771
2ce9894e-1af1-4e2a-96e4-c1dcce1d0096,153
2340b28f-5633-4bbf-8761-6891c5e34194,-1
39c48c2e-841e-469c-b2f3-0dddaece73a7,-1
e5bc8c40-fb76-4ea3-9fad-6229d22ebe55,-1
d06e94eb-f563-46f1-8d6f-4adfd41b4646,766
40646dc1-ff85-4fef-9bde-21cbbd9f7cf2,536
0aaddf5d-8686-4fe8-8ed5-4421f991b225,431
6d7680ca-d483-4140-8e0f-b5bc6e7bcb67,-1
65362bc4-f3c6-448e-b707-e1ada54a19e2,161
64878b16-b561-4c5a-a6c4-5a755975e168,-1
dc8e437e-02de-4d9e-aa44-543b6fb95126,353
6936b674-b748-4125-ba96-c9488cbe1433,-1
6d0bec7a-4f2f-4c88-a568-3b2fcfa86308,618
55b5351a-4002-40d1-b78c-a238b2d8f9b7,680
62d64437-2fd8-4590-8c17-74ccbbdd1354,129
028f1876-9120-45b2-a7df-21e9fba2010b,628
86e187a2-c660-4e2e-af04-d111d1d2e9f2,-1
6227739e-2d3b-4937-ba4a-4ab5d1626a7e,492
9259570e-2c2e-4f31-9564-fcbe870496be,719
03cf1af5-78d1-4084-be88-8dfc21963b80,202
865f7d33-9f1b-4d40-ac71-8a6e05e13663,-1
89c68394-d3c7-4db7-8542-77d3db5bdf67,-1
00b7f779-95ae-447e-93f5-5ce5fbb54c4c,28
cb420a49-fadd-4155-89ad-f08bed4bca55,432
bf74b0f5-9db5-4599-b2b7-1ac6e4899da4,-1
5580fbd4-4c1a-4ca1-bfed-6a46d920b6f0,211
9493ee36-2d27-40f0-964a-5828949b0ff8,489
3baa3d81-9b87-4eab-b473-92250f8ceef0,366
1e05737a-dd73-42b0-9e2e-6ea77c12dbb5,-1
94a4bbe9-524f-4c1e-afc2-389fa3ce9ffa,-1
