EAN,size,brand,color,category,heelType,shoeType,shoeWidth,heelHeight,returnable,name [el_CY],name [en_GB],updateOnDelta,refinementColor,variantGroupCode,jiniusSkuMatchCode,longDescription [el_CY],shortDescription [en_GB],mainImage.source,mainImage.original_url,shortDescription [el_CY],secondary_image_1.source,secondary_image_1.original_url,secondary_image_2.source,secondary_image_2.original_url,secondary_image_3.source,secondary_image_3.original_url,longDescription [en_GB],fashionMaterial,name,longDescription,shortDescription,mirakl_product_id,group_id1,name [en_GB,group_id2,final_group_id,final_group_id_clip_strict,manual_group_id,manual_group_name
['5299900765088'],38,ADIDAS,White,FaWoShSneakers,,,,,true,,Adidas advantage base,,white,4ecc6b38-8aed-4993-92c7-c2bf8650b467,[],,<html><body><p>ADIDAS ADVANTAGE BASE      FTWWHT/FTWWHT/SILVMT</p></body></html>,https://media-prod-eu-1.mirakl.net/SOURCE/5209f29f19ca451d9d7adb2ed2e1000d,https://powersoft365customers.blob.core.windows.net/he132515a-d-e-natiotis-limited/Models/IF8550.jpg?updated=20240424081925,<html><body><p></p></body></html>,https://media-prod-eu-1.mirakl.net/SOURCE/5dab2982c3cd4bb3874f60d0c493b18b,https://powersoft365customers.blob.core.windows.net/he132515a-d-e-natiotis-limited/Models/IF8550_1.jpg?updated=20240424081926,https://media-prod-eu-1.mirakl.net/SOURCE/771867237bdf4410b0565f1c93d8c586,https://powersoft365customers.blob.core.windows.net/he132515a-d-e-natiotis-limited/Models/IF8550_2.jpg?updated=20240424081928,https://media-prod-eu-1.mirakl.net/SOURCE/61ba3f699f77436a95063ba01656e759,https://powersoft365customers.blob.core.windows.net/he132515a-d-e-natiotis-limited/Models/IF8550_3.jpg?updated=20240424081929,,,,,,94ef73a2-5f7d-41c5-be54-ae98fbf3b26b,0.0,Adidas advantage base,1,1,1,1.0,Adidas advantage base
[],44,NEW BALANCE,Black,FaMeShSneakers,,,,,true,Dynasoft nitrel v6 running shoes,Dynasoft nitrel v6 running shoes,,black,23fea280-11c0-4f45-805e-e4da23c88f70,[],,DYNASOFT NITREL V6 RUNNING SHOES,https://media-prod-eu-1.mirakl.net/SOURCE/c32ecaf3cef74cc499840cc908497752,https://administrator.athlokinisi.com.cy/product_catalog/groups/193026/mtntrlg6.jpg,DYNASOFT NITREL V6 RUNNING SHOES,https://media-prod-eu-1.mirakl.net/SOURCE/884fd13fb86040379fbf0c003b126e50,https://administrator.athlokinisi.com.cy/product_catalog/groups/193026/pics/mtntrlg6_1.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/b91b135f031a46f6b0ff189b99f6f0e5,https://administrator.athlokinisi.com.cy/product_catalog/groups/193026/pics/mtntrlg6_2.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/39d8d16c3bab4246bb2ac7d1d4c13f30,https://administrator.athlokinisi.com.cy/product_catalog/groups/193026/pics/mtntrlg6_3.jpg,,,,,,532fb849-95c8-4b24-9adf-a98e0bf38807,1.0,Dynasoft nitrel v6 running shoes,2,2,2,2.0,New Balance Dynasoft Nitrel V6 Running sneakers
[],46,UNDER ARMOUR,Black,FaMeShSneakers,,,,,true,Charged assert 10,Charged assert 10,,black,5aacc89f-3d4a-494f-8117-4605f522126b,[],,"Under armour charged assert 10 men's running shoes<br>
With these men's shoes, get ready to conquer the top. They are constructed with lightweight mesh for maximum breathability and synthetic overlays for extra support and durability. It has an eva sole for maximum comfort and a soft step, while it is completed with the brand's design.<br>
<br>
Features<br>
• Lightweight breathable mesh upper with synthetic overlays for added durability and support<br>
• Regular fit<br>
• Eva sole that provides soft comfort<br>
• Charged cushioning® midsole<br>
• One-piece charged cushioning® midsole uses compression foam for ultimate responsiveness and durability<br>
• Rubber outsole covers high impact zones for more durability with less weight",https://media-prod-eu-1.mirakl.net/SOURCE/2a60ee36ea524ddeb2d05ed4a084c948,https://privesports.com.cy/product_catalog/groups/146436/3026175-004.jpg,"Under armour charged assert 10 men's running shoes<br>
With these men's shoes, get ready to conquer the top. They are constructed with lightweight mesh for maximum breathability and synthetic overlays for extra support and durability. It has an eva sole for maximum comfort and a soft step, while it is completed with the brand's design.<br>
<br>
Features<br>
• Lightweight breathable mesh upper with synthetic overlays for added durability and support<br>
• Regular fit<br>
• Eva sole that provides soft comfort<br>
• Charged cushioning® midsole<br>
• One-piece charged cushioning® midsole uses compression foam for ultimate responsiveness and durability<br>
• Rubber outsole covers high impact zones for more durability with less weight",https://media-prod-eu-1.mirakl.net/SOURCE/fe53892b8cdf4e6b900946131691b5d6,https://privesports.com.cy/product_catalog/groups/146436/pics/3026175-004-black_1.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/b78c9265fe104cfaa9bb36e0a27c7c7d,https://privesports.com.cy/product_catalog/groups/146436/pics/3026175-004-black_2.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/a11e378c6cef4c7291aa83f3ed4ede1e,https://privesports.com.cy/product_catalog/groups/146436/pics/3026175-004-black_3.jpg,,,,,,7cf7ed99-e3af-4538-acee-74d7db6b1e7f,2.0,Charged assert 10,3,3,3,3.0,Under Armour charged assert 10 sneakers
[],39.5,SKECHERS,Black,FaWoShSneakers,,,,,true,Skechers women duraleather bungee slip,Skechers women duraleather bungee slip,,black,b94bcfde-fba6-4963-ab32-c9e226f71aee,[],,"<html><body><p>Pick up the pace with increased ease-of-wear and superior comfort wearing Skechers Slip-ins®: Summits - Unknown Trail. Designed with our exclusive Heel Pillow™, this stretch-laced style features a vegan duraleather upper and a cushioned Skechers Air-CoOLED Memory Foam® comfort insole.<br/><br/>Key Features<br/>Skechers Hands Free Slip-ins® for an easy fit<br/>Exclusive Heel Pillow™ holds your foot securely in place<br/>Skechers Air-CoOLED Memory Foam® cushioned comfort insole<br/>Crafted with 100 vegan materials<br/>Design Details<br/>Duraleather upper with stretch laces<br/>Lightweight flexible shock-absorbing midsole<br/>Flexible traction outsole<br/>1 1/4-inch heel<br/>Skechers® logo detail</p></body></html>",https://media-prod-eu-1.mirakl.net/SOURCE/f1175b42513e4c4da1754b90f35267ab,https://powersoft365customers.blob.core.windows.net/he880244-a-katsouris-family-enterprises-ltd/Models/150254.jpg?updated=20240923193807,<html><body><p></p></body></html>,https://media-prod-eu-1.mirakl.net/SOURCE/dc4ee96f91e345b8a5159cffa7a36ef0,https://powersoft365customers.blob.core.windows.net/he880244-a-katsouris-family-enterprises-ltd/Models/150254_1.jpg?updated=20240923193809,https://media-prod-eu-1.mirakl.net/SOURCE/17fffd256c2c4610b0472d01932a60a6,https://powersoft365customers.blob.core.windows.net/he880244-a-katsouris-family-enterprises-ltd/Models/150254_2.jpg?updated=20240923193811,https://media-prod-eu-1.mirakl.net/SOURCE/e18d5739cb6c4d9b816be666e2f465a3,https://powersoft365customers.blob.core.windows.net/he880244-a-katsouris-family-enterprises-ltd/Models/150254_3.jpg?updated=20240923193812,,,,,,a8238340-ef5a-4a34-9e85-7d7be633307b,3.0,Skechers women duraleather bungee slip,4,4,4,4.0,Skechers duraleather bungee slip
[],UK 7/EU 40 2/3,ADIDAS,Collegiate Green,FaWoShSneakers,,,,,true,Adidas women's grand court alpha shoes,Adidas women's grand court alpha shoes,,,ef623f44-79ad-40a6-9799-4b6813f5e199,[],,"Sleek and wearable, these adidas sneakers demand a place in your line-up. The faux leather upper is lined for a soft feel against the foot. A Cloudfoam midsole cushions your stride for all-day comfort while the flexible rubber outsole lets you breeze through your day, whether you’re on polished floors or overgrown paths. The minimal design works well with everything in your wardrobe.",https://media-prod-eu-1.mirakl.net/SOURCE/64c82c9a7a504bd0ba8fdf7a51a56bcf,https://s3.gy.digital/famousports/uploads/asset/data/370978/IH3850_1_FOOTWEAR_Photography_Side_Lateral_Center_View_white.png,,https://media-prod-eu-1.mirakl.net/SOURCE/911f712881694b88bc0a8db76872d90a,https://s3.gy.digital/famousports/uploads/asset/data/370977/IH3850_5_FOOTWEAR_Photography_Side_Medial_Center_View_white.png,https://media-prod-eu-1.mirakl.net/SOURCE/06e11cef54104cfeb432bbdc17867d83,https://s3.gy.digital/famousports/uploads/asset/data/370979/IH3850_7_FOOTWEAR_Photography_Back_Lateral_Top_View_white.png,https://media-prod-eu-1.mirakl.net/SOURCE/805ce40882f64bcf942194673bcc778e,https://s3.gy.digital/famousports/uploads/asset/data/370980/IH3850_6_FOOTWEAR_Photography_Front_Lateral_Top_View_white.png,,,,,,3e36c5a8-5430-460e-b522-21552203af5d,4.0,Adidas women's grand court alpha shoes,5,5,5,5.0,Adidas grand court alpha sneakers
[],41.5,NEW BALANCE,Black,FaMeShSneakers,,,,,true,Fresh foam x evoz mens,Fresh foam x evoz mens,,black,664553e8-2f68-4497-9449-f2ee93d0eb28,[],,"Our fresh foam x evoz v3 balances proven innovation with accessible all-day comfort and wearability. Built to be your go-to daily trainer, this soft, plush shoe now features fresh foam x for an ultra-cushioned experience. Combined with a lightweight engineered mesh upper, focused on breathability and stretch, this premium running shoe brings best-in-class comfort to all.<br>
<br>
Features<br>
.Fresh foam x midsole delivers our most cushioned fresh foam experience for incredible comfort<br>
.Upper features no-sew construction for a sleek fit and feel<br>
.Soft textile and engineered mesh upper<br>
.Integrated rubber outsole<br>
.Adjustable lace closure for customized fit<br>
<br>
Size & fit<br>
  276 grams (9.7 oz)",https://media-prod-eu-1.mirakl.net/SOURCE/5589f6a9d99149918fe8893e64f64066,https://privesports.com.cy/product_catalog/groups/141861/mevozmk3-black.jpg,"Our fresh foam x evoz v3 balances proven innovation with accessible all-day comfort and wearability. Built to be your go-to daily trainer, this soft, plush shoe now features fresh foam x for an ultra-cushioned experience. Combined with a lightweight engineered mesh upper, focused on breathability and stretch, this premium running shoe brings best-in-class comfort to all.<br>
<br>
Features<br>
.Fresh foam x midsole delivers our most cushioned fresh foam experience for incredible comfort<br>
.Upper features no-sew construction for a sleek fit and feel<br>
.Soft textile and engineered mesh upper<br>
.Integrated rubber outsole<br>
.Adjustable lace closure for customized fit<br>
<br>
Size & fit<br>
  276 grams (9.7 oz)",https://media-prod-eu-1.mirakl.net/SOURCE/c9f5561e3f24475098572ac864175fc6,https://privesports.com.cy/product_catalog/groups/141861/pics/mevozmk3-black_1.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/c89dd64fb0da4a8b994698a1f2548e24,https://privesports.com.cy/product_catalog/groups/141861/pics/mevozmk3-black_2.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/f6a8f3995e9b4ae9891848cdafeddd0f,https://privesports.com.cy/product_catalog/groups/141861/pics/mevozmk3-black_3.jpg,,,,,,8524f080-3ec6-4b48-a20c-7a55e516ee64,5.0,Fresh foam x evoz mens,6,6,6,6.0,New Balance fresh foam x Evoz sneakers
[],36,NEW BALANCE,White / Red / Black,FaWoShSneakers,,,,,true,New balance 550 lifestyle sneakers,New balance 550 lifestyle sneakers,,,89282c85-82a1-4717-aaed-d7f63b7222f5,[],,NEW BALANCE 550 LIFESTYLE SNEAKERS,https://media-prod-eu-1.mirakl.net/SOURCE/19eaf9685272488d9bb8417d3748baf7,https://www.sneakershero.com/product_catalog/groups/181119/bb550-vga.jpg,,https://media-prod-eu-1.mirakl.net/SOURCE/7086ab11bb05443cb94b8f8909cd2938,https://www.sneakershero.com/product_catalog/groups/181119/pics/bb550-vga_1.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/f264bb94f44b414fb9f93178535f1678,https://www.sneakershero.com/product_catalog/groups/181119/pics/bb550-vga_2.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/cdd1ea5833cd4cab846e93be7ea40976,https://www.sneakershero.com/product_catalog/groups/181119/pics/bb550-vga_3.jpg,,,,,,fd483057-18a6-4b56-8952-02341bda871e,6.0,New balance 550 lifestyle sneakers,7,7,7,7.0,New Balance 550 lifestyle sneakers
[],45,UNDER ARMOUR,Black,FaMeShSneakers,,,,,true,Jet '23,Jet '23,,black,3cd5910b-b22e-4587-a765-5bd10c21525c,[],,"Locked in and ready for takeoff, the ua jet is all about performance. A micro g® midsole gives you the cushioning you need, while the durable upper looks great on and off the court.<br>
<br>
Dna<br>
Style #: 3026634<br>
Lace type: standard tie<br>
Imported",https://media-prod-eu-1.mirakl.net/SOURCE/e44af4e6d1774147b508d0f631e704bf,https://privesports.com.cy/product_catalog/groups/153310/3026634-001-black.jpg,"Locked in and ready for takeoff, the ua jet is all about performance. A micro g® midsole gives you the cushioning you need, while the durable upper looks great on and off the court.<br>
<br>
Dna<br>
Style #: 3026634<br>
Lace type: standard tie<br>
Imported",https://media-prod-eu-1.mirakl.net/SOURCE/4a57bf1713e84ebba792187bd8825dfb,https://privesports.com.cy/product_catalog/groups/153310/pics/3026634-001-black_1.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/cf4dda173e1a4ff48b19cb2f73622cb2,https://privesports.com.cy/product_catalog/groups/153310/pics/3026634-001-black_2.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/a87bbbf4b8724f91a914df7469b66864,https://privesports.com.cy/product_catalog/groups/153310/pics/3026634-001-black_3.jpg,,,,,,4d748c67-d5c7-464d-a399-29f64782fa94,7.0,Jet '23,8,8,8,8.0,Under Armour Jet ’23 sneakers
[],38.5,PUMA,White / Pink,FaWoShSneakers,,,,,true,Rs-x soft women,Rs-x soft women,,white,a78e6c84-6b23-493a-b173-adeb2d37c4d9,[],,RS-X SOFT Women,https://media-prod-eu-1.mirakl.net/SOURCE/c59621174e5844daa310c7f818e4e294,https://administrator.athlokinisi.com.cy/product_catalog/groups/180823/393772-04.jpg,RS-X SOFT Women,https://media-prod-eu-1.mirakl.net/SOURCE/547d6293d8b249239964c1dadd25d316,https://administrator.athlokinisi.com.cy/product_catalog/groups/180823/pics/393772-04_1.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/b007b72248794052b5d3fdc58a24ba62,https://administrator.athlokinisi.com.cy/product_catalog/groups/180823/pics/393772-04_2.jpg,https://media-prod-eu-1.mirakl.net/SOURCE/307e09b498f64ded9e62419494b4c9d7,https://administrator.athlokinisi.com.cy/product_catalog/groups/180823/pics/393772-04_3.jpg,,,,,,5ea9f250-0151-42ce-9f59-3d30c86b6f25,8.0,Rs-x soft women,9,9,9,9.0,Puma RS-X soft sneakers
[],42,ASICS,Tirquase,FaMeShSneakers,,,,,true,Asics men gel nimbus 27,Asics men gel nimbus 27,,,e904667b-e2d3-4dc2-8b5d-51dd938ea0f2,[],,"<html><body><p>The GEL-NIMBUS™ 27 shoes soft cushioning properties help you feel like youre landing on clouds. This design is revamped to help create a softer and smoother running experience.<br/><br/>A soft engineered jacquard mesh upper comfortably wraps your foot while supplying advanced ventilation. Additionally, the knit tongue and collar help provide a soft and supportive feel.<br/><br/>By using FF BLAST™ PLUS ECO cushioning, this trainer creates a lighter and softer cushioning experience.<br/><br/>Lastly, HYBRID ASICSGRIP™ outsole combines ASICSGRIP™ rubber and AHARPLUS™ materials to help provide advanced grip for various terrains and advanced durability.<br/><br/>Pronation-<br/>Designed for Neutral / Underpronation<br/><br/>Neutral<br/>Foot Type<br/>Normal size arches<br/>Push Off<br/>There is even distribution from the front of the foot.<br/>How your foot contacts the ground<br/>The foot lands on outside of the heel, then rolls inward pronates to absorb shock and support body weight.<br/><br/>Underpronation<br/>Foot Type<br/>High arches<br/>Push Off<br/>The pressure is on smaller toes on outside of foot.<br/>How your foot contacts the ground<br/>The outer side of the heel hits the ground at an increased angle with little or no normal pronation, causing a large transmission of shock through the lower leg.<br/><br/>Tech  Features-<br/>• Engineered jacquard mesh upper<br/>• Wraps the foot with a soft feel<br/>• At least 75 of the shoes main upper material is made with recycled content to reduce waste and carbon emissions<br/>• The sockliner is produced with the solution dyeing process that reduces water usage by approximately 33 and carbon emissions by approximately 45 compared to the conventional dyeing technology<br/>• PureGEL™ technology<br/>• Helps provide lightweight cushioning and softer landings<br/>• FF BLAST™ PLUS ECO cushioning made with approximately 24 bio-based content using renewable sources creating a softer landing and a more responsive toe-off<br/>• OrthoLite™ X-55 sockliner Improves step-in comfort<br/>• Reflective details<br/>• Designed to improve visibility in low-light conditions<br/>• HYBRID ASICSGRIP™ outsole combines ASICSGRIP™ rubber and AHARPLUS™ materials to help provide advanced grip for various terrains and advanced durability.</p></body></html>",https://media-prod-eu-1.mirakl.net/SOURCE/dc95d6a685da4b34ac97a9501c67a905,https://powersoft365customers.blob.core.windows.net/he880244-a-katsouris-family-enterprises-ltd/Models/1011B958-400.jpg?updated=20250217211151,<html><body><p></p></body></html>,https://media-prod-eu-1.mirakl.net/SOURCE/a528e7f710ce4e5da6460f1c74e718c6,https://powersoft365customers.blob.core.windows.net/he880244-a-katsouris-family-enterprises-ltd/Models/1011B958-400_1.jpg?updated=20250217211152,https://media-prod-eu-1.mirakl.net/SOURCE/21ddca86c9404ae6bed13b2cfca8ae0c,https://powersoft365customers.blob.core.windows.net/he880244-a-katsouris-family-enterprises-ltd/Models/1011B958-400_2.jpg?updated=20250217211153,https://media-prod-eu-1.mirakl.net/SOURCE/b07e41dc47ad40ef91a15d8546cb97c6,https://powersoft365customers.blob.core.windows.net/he880244-a-katsouris-family-enterprises-ltd/Models/1011B958-400_3.jpg?updated=20250217211153,,,,,,3eaead1f-ceb1-4548-ad3f-6fdc949ba46a,9.0,Asics men gel nimbus 27,10,10,10,10.0,Asics gel nimbus 27 sneakers
